ceiling_height,area,room_count,floor_count,floor ,distance_to_center,owner_enc,district_Есильский р-н,district_Нура р-н,district_Сарайшык р-н,district_Сарыарка р-н,district_р-н Байконур,house_type_монолитный дом,house_type_панельный дом,year_category,price_per_m2
3.0,110.5,4.0,14.0,13.0,1.685140801154434,0,1,0,0,0,0,1,0,6,778280.5429864253
3.0,45.0,2.0,9.0,6.0,3.139428620048779,0,0,1,0,0,0,1,0,7,755555.5555555555
2.7,42.6,1.0,9.0,9.0,3.7969519889106857,0,1,0,0,0,0,1,0,6,727699.5305164319
3.0,42.0,2.0,18.0,3.0,3.5836480551322802,0,0,1,0,0,0,1,0,7,714285.7142857143
3.0,99.0,3.0,22.0,10.0,2.0652614111255314,0,0,0,0,0,0,1,0,6,545353.5353535353
3.0,56.0,2.0,9.0,9.0,6.007225096074509,0,1,0,0,0,0,1,0,7,582142.8571428572
3.0,100.99,3.0,13.0,16.0,2.9460969911778054,0,0,1,0,0,0,1,0,7,783000.0
3.0,91.68,4.0,9.0,9.0,3.923216143371564,0,0,1,0,0,0,0,0,7,597000.0
3.0,50.9,2.0,11.0,12.0,5.306592530081841,0,1,0,0,0,0,1,0,7,821000.0
2.65,66.95,3.0,13.0,17.0,5.654245072440196,0,0,1,0,0,0,1,0,7,538000.0
3.0,70.32,2.0,11.0,12.0,5.306592530081841,0,1,0,0,0,0,1,0,7,739000.0000000001
2.7,63.42,2.0,9.0,9.0,8.145237274207853,0,0,0,1,0,0,1,0,7,360000.0
3.0,73.0,3.0,11.0,17.0,5.483315845055987,0,1,0,0,0,0,1,0,7,811000.0
3.0,186.0,5.0,15.0,15.0,4.530109540256233,0,0,1,0,0,0,1,0,7,700000.0
3.0,39.4,1.0,10.0,22.0,3.139428620048779,0,0,1,0,0,0,1,0,7,760000.0
3.0,102.0,3.0,20.0,2.0,4.074975155344247,0,0,1,0,0,0,1,0,7,901960.7843137255
3.0,38.7,1.0,12.0,8.0,3.60132782698083,0,0,1,0,0,0,1,0,7,723514.2118863049
3.0,44.0,2.0,16.0,7.0,3.623756978047622,0,0,1,0,0,0,1,0,7,725000.0
2.7,37.6,1.0,9.0,5.0,5.541630923956862,0,0,0,0,1,0,0,0,6,529255.3191489362
2.8,42.0,1.0,22.0,22.0,4.409279927872137,0,1,0,0,0,0,1,0,7,857142.8571428572
3.0,39.0,1.0,12.0,7.0,2.7262507377793574,0,1,0,0,0,0,1,0,7,961538.4615384615
3.0,60.0,2.0,18.0,3.0,4.034921020606908,0,0,0,1,0,0,1,0,7,645000.0
3.0,43.0,2.0,12.0,4.0,3.282076236820454,0,1,0,0,0,0,0,0,7,834883.7209302326
3.0,114.1,4.0,11.0,12.0,4.781465691896186,0,0,1,0,0,0,1,0,7,543000.0
3.0,62.95,2.0,9.0,9.0,7.223812041542382,0,1,0,0,0,0,1,0,7,776319.9205718824
3.0,72.49,3.0,9.0,9.0,7.223812041542382,0,1,0,0,0,0,1,0,7,629000.0
2.7,132.4,4.0,10.0,7.0,5.689301212624803,0,0,0,0,0,0,0,0,7,604229.6072507553
3.0,43.7,1.0,10.0,22.0,3.139428620048779,0,0,1,0,0,0,1,0,7,680000.0
3.0,66.0,3.0,12.0,3.0,4.86598222285405,0,0,1,0,0,0,1,0,7,674242.4242424242
3.0,65.0,2.0,12.0,10.0,3.3331806951462277,0,1,0,0,0,0,1,0,7,614615.3846153846
2.7,90.0,3.0,12.0,12.0,1.0522086997371851,0,1,0,0,0,0,1,0,6,666666.6666666666
3.0,46.0,2.0,15.0,15.0,5.693856460701494,0,0,0,1,0,0,1,0,7,606521.7391304348
3.0,87.0,3.0,9.0,3.0,3.5836480551322802,0,0,1,0,0,0,1,0,7,758620.6896551724
2.7,60.0,3.0,9.0,8.0,3.656714434478856,0,1,0,0,0,0,1,0,7,741666.6666666666
3.0,48.0,2.0,12.0,10.0,3.5486867810018268,0,0,1,0,0,0,1,0,7,718750.0
3.0,117.3,4.0,16.0,14.0,4.234268084710883,0,0,0,0,1,0,1,0,7,767263.4271099744
2.6,58.0,2.0,6.0,6.0,4.6405223313005735,0,0,0,0,1,0,0,0,5,336206.8965517241
3.1,110.0,3.0,26.0,15.0,0.3769489099361797,0,1,0,0,0,0,1,0,6,681818.1818181818
3.0,130.8,4.0,10.0,22.0,3.0982826987928465,0,0,1,0,0,0,1,0,7,640000.0
